Propietario,direccion,TextoReclamo,ValorReclamo,idParcela,Valuacion_Danios,Validado
Leopoldo Herminio Sancho Alsina," Inglaterra, Municipio de Tanti, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Apreciados representantes de SierraVolt Energética Limitada,

Nos ponemos en contacto con ustedes como representantes legales de nuestro cliente, el Sr. Leopoldo Herminio Sancho Alsina, dueño de un terreno situado en Inglaterra, Municipio de Tanti, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina.

Nos place comunicarles que nuestro cliente tiene la intención de presentar una reclamación por daños y perjuicios causados a su propiedad a raíz de un incendio forestal reciente. La parcela en cuestión es de tipo urbano y, de acuerdo a nuestros registros, no posee edificaciones (EDIFICADO NoPH). La localidad afectada es Tanti, perteneciente al departamento de Punilla.

Debido a los daños padecidos, nuestro cliente calcula que el monto a reclamar asciende a $3.122.933 pesos argentinos. Esta suma se fundamenta en el impacto que el incendio ha generado en el valor de mercado de la propiedad, así como en los costos vinculados a la limpieza y restauración del terreno.

Requerimos a SierraVolt Energética Limitada que examine la reclamación presentada y proceda con el pago correspondiente lo antes posible. De no obtener una respuesta satisfactoria en un plazo adecuado, nos veremos en la necesidad de tomar las acciones legales pertinentes para asegurar los derechos e intereses de nuestro cliente.

Agradecemos de antemano su atención y aguardamos su pronta respuesta.

Cordialmente,


Abogado
Estudio Jurídico Alsina & Asociados",3122933.27,1157327-SAN ROQUE,,
Azucena Mateo Mir,"Comuna de Tala Huasi, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Para los respetados representantes de SierraV Segura,

Soy Azucena Mateo Mir, dueña de un lote urbano situado en la Comuna de Tala Huasi, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Me encuentro escribiéndoles con una preocupación profunda a raíz de los perjuicios que ha sufrido mi propiedad a causa de un reciente incendio forestal.

Desafortunadamente, el proceso de evacuación resultó ser bastante oneroso y complicado, generando gastos extra que no había anticipado. Aunque mi lote no posee construcciones, los daños provocados por el fuego han sido notables y demandan una inversión significativa para su restauración.

Por ende, me veo obligada a presentar una reclamación por la suma de $86.695.859, que cubra los costos de evacuación y los daños sufridos en mi propiedad. Les agradezco de antemano su atención y comprensión en este momento difícil, y confío en contar con su respaldo para solucionar esta situación a la brevedad.

Aguardo su respuesta pronta y les mando un saludo cordial.

Cordialmente,

Azucena Mateo Mir.",86695859.82,2519550-SANTIAGO,,
,,"Para el equipo de Volterra Seguros,

Me dirijo a ustedes como Natalia de Pavón, dueña de un terreno ubicado en Blas Díaz, Municipio de Cabalango, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. El motivo de mi carta es presentar un reclamo por los daños ocasionados en mi propiedad a raíz de un incendio forestal reciente.

Mi terreno es de carácter rural y, desafortunadamente, no contaba con construcciones en él. El incendio ha provocado daños significativos en la vegetación y en la calidad del suelo, dejándome en una situación difícil. Me gustaría solicitar una compensación por los daños padecidos, dado que mi póliza de seguro contempla este tipo de siniestros.

El importe que reclamo asciende a $103.620.430, monto que considero apropiado para afrontar los costos de limpieza, recuperación del terreno y reforestación. Agradezco de antemano su rápida atención a este tema y aguardo su respuesta.

Atentamente,

Natalia de Pavón.",103620430.76,1134835-SANTIAGO,,
,,"Para los Estimados de Volterra Seguros,

Me dirijo a ustedes como Onofre Carmona Riera, dueño de un terreno ubicado en El Calafate, Solares de las Ensenadas, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Les escribo con el fin de informarles acerca de un suceso que tuvo lugar en mi propiedad y para solicitar una compensación.

Días atrás, un incendio forestal afectó gravemente mi parcela urbana en Villa Carlos Paz. Por suerte, no había edificaciones en el terreno, pero el fuego provocó daños importantes en la vegetación y en la calidad del suelo. Debido a esto, me veo enfrentado a pérdidas considerables y requiero asistencia para recuperar el valor de mi propiedad.

En consecuencia, deseo presentar un reclamo por un monto de $87.436.538, que corresponde al valor estimado de los perjuicios ocasionados por el incendio. Les agradecería si pudieran gestionar mi petición a la brevedad y proporcionarme información acerca de los siguientes pasos a seguir.

Aguardo su pronta respuesta.

Atentamente,

Onofre Carmona Riera.",87436538.48,1188848-SAN ROQUE,,
,,"Para los distinguidos representantes de Aseguradora del Norte,

Me presento, soy Vasco Aznar Ramírez, dueño de un terreno situado en Altos de San Antonio, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Me veo en la necesidad de contactarlos para presentar una queja por los perjuicios ocasionados en mi propiedad a causa de un reciente incendio forestal.

El terreno en cuestión es de carácter urbano y, desafortunadamente, se halla en estado de abandono, sin edificaciones registradas. La localidad afectada es Villa Carlos Paz, que pertenece al departamento de Punilla. Como resultado del incendio, mi actividad comercial se ha visto interrumpida y he padecido pérdidas económicas de gran magnitud.

Por ende, solicito a Aseguradora del Norte que considere mi queja y proceda con el desembolso correspondiente a los perjuicios sufridos, que ascienden a un total de $5.378.868 pesos argentinos. Les agradezco de antemano su atención y cooperación en este asunto y aguardo su respuesta a la brevedad.

Con respeto,

Vasco Aznar Ramírez
Dueño",5378868.83,2449054-SAN ROQUE,,
Matías Felipe Benitez Criado," Camino a Estancia Cáceres, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Apreciados representantes de SierraVolt Energética Limitada,

Nos ponemos en contacto con ustedes como representantes legales de nuestro cliente, el Sr. Matías Felipe Benitez Criado, dueño de un terreno situado en Camino a Estancia Cáceres, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina.

Mediante la presente, queremos comunicarles que nuestro cliente ha experimentado daños considerables en su propiedad rural a causa de un incendio forestal reciente. Esta situación ha llevado a la destrucción de cultivos y la imposibilidad de seguir adelante con sus actividades agrícolas en el terreno mencionado.

Tal propiedad se ubica en una zona rural, sin registros de construcciones, y catalogada como baldío. La localidad no está especificada, pero sí se halla dentro del departamento de Punilla.

Debido a lo expuesto, nuestro cliente requiere una indemnización por los daños padecidos en su propiedad, los cuales alcanzan la suma de $4.110.591 pesos argentinos. Este monto se fundamenta en la evaluación de los daños y perjuicios provocados por el incendio, así como en la pérdida de ingresos futuros a raíz de la imposibilidad de proseguir con sus actividades agrícolas en el terreno afectado.

Agradecemos su atención en este asunto y solicitamos que se efectúe una rápida evaluación de la situación y se proceda al pago de la indemnización pertinente. Aguardamos su respuesta y nos encontramos a su disposición para cualquier consulta o información adicional que necesiten.

Cordialmente,

Dr. Juan Carlos Pérez
Abogado
Estudio Jurídico Pérez & Asociados",4110591.88,2073839-SAN ROQUE,,
Abel Carrera Peñas," Costanero Los Troncos, Comuna de Mayu Sumaj, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina","Para los distinguidos representantes de SierraVolt Energética Limitada,

Nos ponemos en contacto con ustedes como representantes legales de nuestro cliente, el Sr. Abel Carrera Peñas, dueño de una propiedad situada en Costanero Los Troncos, Comuna de Mayu Sumaj, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina.

Queremos comunicarles que nuestro cliente ha experimentado daños considerables en su propiedad a causa de un reciente incendio forestal. El terreno afectado es de carácter urbano y posee construcciones bajo régimen de propiedad horizontal. El lugar afectado es Mayu Sumaj, que pertenece al departamento de Punilla.

Desafortunadamente, el seguro que nuestro cliente contrató no cubre la totalidad de los daños provocados por el incidente. Por ende, nos encontramos en la obligación de presentar una reclamación por la suma de $4.467.717, que es el monto requerido para realizar las reparaciones y restituciones necesarias en la propiedad dañada.

Pedimos a SierraVolt Energética Limitada que, en su rol de encargado de la gestión y prevención de riesgos en el área, proceda a evaluar la situación y determine la compensación correspondiente a nuestro cliente, el Sr. Abel Carrera Peñas, de acuerdo con las normativas legales vigentes.

Agradecemos de antemano su cooperación y atención en este asunto. Esperamos su pronta respuesta y nos encontramos a su disposición para cualquier consulta o información adicional que necesiten.

Cordialmente,


Abogado
Estudio Jurídico Pérez & Asociados.",4467717.95,1204555-SAN ROQUE,,
Tiburcio de Bárcena," Ushuaia, Solares de las Ensenadas, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Apreciados representantes de SierraVolt Energética Limitada,

Nos ponemos en contacto con ustedes como representantes legales de nuestro cliente, el Sr. Tiburcio de Bárcena, dueño de un terreno situado en Ushuaia, Solares de las Ensenadas, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. El terreno mencionado es de carácter urbano y, de acuerdo a nuestros registros, no posee edificaciones.

Mediante la presente, nos es grato comunicarles que nuestro cliente tiene la intención de presentar una reclamación por daños y perjuicios causados a su propiedad a raíz de un reciente incendio forestal. La causa de este siniestro se atribuye a la negligencia en el manejo del fuego y el humo cerca de su terreno, lo cual ha ocasionado pérdidas considerables para el Sr. de Bárcena.

En base a lo expuesto, nuestro cliente exige una indemnización por un monto total de $59.861.805 pesos argentinos, que corresponde al valor estimado de los daños padecidos en su propiedad. Solicitamos que se lleve a cabo una investigación minuciosa de los hechos y se adopten las medidas pertinentes para asegurar que situaciones semejantes no se repitan en el futuro.

Agradecemos de antemano su atención a este asunto y aguardamos su pronta respuesta. Por favor, no duden en contactarnos si necesitan información adicional o si desean conversar sobre los detalles de la reclamación.

Cordialmente,


Abogado
Estudio Jurídico 
Córdoba, Argentina",59861805.24,1188589-SANTIAGO,,
Berto Casals-Muro," Citón, La subida, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","Para los estimados representantes de SierraVolt Energética Limitada,

Nos ponemos en contacto con ustedes como abogados del Sr. Berto Casals-Muro, dueño de un terreno situado en Citón, La subida, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. El propósito de esta carta es presentar una queja por los daños y perjuicios sufridos en la propiedad de nuestro cliente a causa de un incendio forestal.

El terreno mencionado es de tipo urbano y está ubicado en la localidad de Cuesta Blanca, en el departamento de Punilla. De acuerdo a nuestros archivos, el terreno es un baldío, es decir, no tiene edificaciones. Sin embargo, el incendio ha provocado daños considerables en la vegetación y el suelo, lo que podría tener impactos negativos a largo plazo en la salud de nuestro cliente y de los residentes del área.

Como SierraVolt Energética Limitada es la encargada de la administración y mantenimiento de la infraestructura energética en la región, creemos que la empresa es responsable de los daños causados a la propiedad de nuestro cliente. Por ende, en representación del Sr. Casals-Muro, pedimos una compensación de $3.043.995 pesos argentinos, que consideramos suficiente para cubrir los daños padecidos y las posibles repercusiones futuras.

Agradecemos su atención inmediata a este asunto y esperamos su respuesta. Si no recibimos una respuesta satisfactoria en un tiempo razonable, nos veremos forzados a tomar las acciones legales necesarias para proteger los derechos e intereses de nuestro cliente.

Cordialmente,



Córdoba, Argentina.",3043995.77,1135164-SAN ROQUE,,
Chus Gargallo Tenorio,"Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina","Para los distinguidos representantes de SierraVolt Energética Limitada,

Nos ponemos en contacto con ustedes como abogados del Sr. Chus Gargallo Tenorio, dueño de un terreno situado en la Comuna de Villa Río Icho Cruz, Pedanía Santiago, Departamento Punilla, Córdoba, X5166, Argentina. El propósito de esta carta es presentar una queja por los daños sufridos en dicho terreno debido a un incendio forestal.

El terreno en cuestión es urbano y, de acuerdo a nuestros archivos, no tiene construcciones (EDIFICADO NoPH). Se ubica en la localidad de Villa Icho Cruz, dentro del departamento de Punilla. Desafortunadamente, el incendio forestal ha provocado daños considerables en la propiedad de nuestro cliente, afectando su valor y condiciones.

Por lo anteriormente mencionado, y en conformidad con las leyes y normativas vigentes, solicitamos a SierraVolt Energética Limitada el abono de una compensación por un total de $45.033.351, que corresponde al valor estimado de los daños causados en el terreno de nuestro representado.

Agradecemos su rápida atención a este asunto y esperamos su respuesta para seguir con la resolución de esta situación. Si necesitan más información o documentación de respaldo, por favor no duden en contactar a nuestra firma.

Cordialmente,



Córdoba, Argentina.",45033351.76,1204478-SANTIAGO,,
,,"Pa' Volterra Seguros,

Soy Sigfrido Vega Salcedo, dueño de un terreno urbano en Capitán PM Montaño, Municipio de San Antonio de Arredondo, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Les escribo pa' contarles sobre un incidente que pasó en mi propiedad en San Antonio de Arredondo, departamento Punilla.

Hace unos días, un incendio forestal jodió bastante mi terreno y causó daños importantes. Por suerte, no había ninguna construcción en el lugar, pero el fuego dejó marcas y daños en la vegetación y el suelo. Me gustaría presentar una reclamación por estos daños, ya que mi póliza de seguro cubre este tipo de situaciones.

El monto que estoy reclamando es de $24.805.484, que considero adecuado pa' cubrir los gastos de limpieza, reparación y reforestación del terreno. Agradezco su atención a este asunto y espero que podamos resolverlo de manera rápida y eficiente.

Espero su respuesta a la brevedad.

Saludos cordiales,

Sigfrido Vega Salcedo.",24805484.4,1140245-SAN ROQUE,,
,,"Para los distinguidos representantes de Aseguradora del Norte,

Soy Gracia Granados-Benavent, dueña de un terreno situado en El Calafate, Solares de las Ensenadas, Villa Carlos Paz, Municipio de Villa Carlos Paz, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina. Me pongo en contacto con ustedes para presentar una queja por los daños ocasionados en mi propiedad a causa de un reciente incendio forestal.

El lote en cuestión es de carácter urbano y, de acuerdo a mis registros, no posee construcciones (EDIFICADO NoPH). Se ubica en Villa Carlos Paz, dentro del departamento de Punilla. Desafortunadamente, el incendio ha generado daños considerables en la tierra, ocasionando una pérdida de suelo y nutrientes vitales, lo que ha provocado una situación de erosión en el área.

Considerando que mi póliza de seguro con Aseguradora del Norte ampara este tipo de siniestros, solicito una compensación por los daños padecidos en mi propiedad. El monto que reclamo asciende a $107.860.802, suma que considero necesaria para realizar las labores de recuperación y restauración del terreno afectado.

Agradezco de antemano su atención a este asunto y aguardo su pronta respuesta. Por favor, no duden en contactarme si necesitan información adicional o documentación para procesar mi reclamación.

Cordialmente,

Gracia Granados-Benavent.",107860802.75,1188849-SAN ROQUE,,
Clarisa Benavent-Alcalá," Capitán PM Castagnari, Municipio de San Antonio de Arredondo, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina","A los estimados representantes de SierraVolt Energética Limitada,

Me dirijo a ustedes en nombre de mi representada, la señora Clarisa Benavent-Alcalá, dueña de un terreno urbano situado en Capitán PM Castagnari, Municipio de San Antonio de Arredondo, Pedanía San Roque, Departamento Punilla, Córdoba, X5166, Argentina.

Desafortunadamente, la propiedad de mi cliente ha experimentado daños considerables a raíz de un incendio forestal reciente. Aunque la parcela no posee construcciones (tal como figura en los registros como EDIFICADO NoPH), el valor de la misma ha sido afectado significativamente por este lamentable suceso.

En vista de que la interrupción de los servicios públicos y otros servicios básicos ha influido en la magnitud de los daños padecidos, mi representada cree que SierraVolt Energética Limitada tiene responsabilidad en este tema.

Así, en representación de la señora Benavent-Alcalá, presentamos una reclamación por el monto de $96.761.105. Esta cifra representa el valor estimado de los daños ocasionados, incluyendo la depreciación del valor del terreno y los gastos vinculados a la restauración de los servicios públicos y otros servicios fundamentales.

Desde ya, agradecemos su atención a este asunto y aguardamos una solución rápida y equitativa. Quedamos a su disposición para brindar cualquier información adicional que necesiten.

Cordialmente,",96761105.48,2394601-SAN ROQUE,,
